,SPCD,DO_BH,HT_TOT,TT_DW_CRM
117799,999,1.3,20.0,3.07
119175,68,6.3,34.5,140.26
77931,122,22.3,63.0,2545.02
23889,131,13.3,64.5,988.82
8448,318,24.4,85.8,6546.04
30819,110,12.5,64.9,920.1
1167,117,48.4,157.5,23391.89
10690,131,7.0,33.0,122.41
84534,202,15.4,59.0,1367.15
59675,131,14.6,100.0,1829.32
108012,202,36.8,110.4,10806.49
130686,602,9.3,56.1,363.74
59775,131,5.5,24.0,38.76
137011,691,2.6,22.6,17.0
10419,131,6.9,57.0,219.6
50927,694,8.9,37.0,254.41
123561,131,10.2,96.5,859.21
124933,318,5.8,49.6,171.05
5436,318,18.0,68.7,3087.84
23590,121,15.5,77.4,1894.87
70588,837,5.3,55.0,153.36
132234,531,3.8,25.9,47.29
49865,400,1.4,16.0,4.95
92961,125,6.5,49.7,151.39
24857,129,28.6,149.8,7378.56
95709,105,4.3,29.9,39.54
7709,371,21.2,77.1,4282.67
132156,241,16.5,54.6,843.26
56184,812,15.9,74.0,1813.05
84649,740,7.3,47.1,178.53
113792,131,6.5,35.8,111.83
76117,531,11.3,49.0,645.72
2269,832,2.5,25.0,19.46
4978,371,21.7,80.1,4605.29
88312,12,11.0,65.0,409.54
55379,731,21.0,90.0,2721.52
62578,128,1.0,10.0,1.7
43423,121,13.0,77.0,1326.17
50960,221,16.5,76.0,1569.65
84301,15,18.3,84.3,2258.74
86417,93,13.1,38.0,443.12
88632,105,6.2,45.4,119.63
94737,202,7.4,55.4,267.27
25936,970,13.6,87.6,1464.48
71005,901,12.7,73.0,1058.3
1314,131,1.7,11.5,4.91
17244,111,8.2,58.0,371.7
99294,131,7.5,64.5,301.54
111223,743,7.9,58.7,271.27
94927,105,3.3,37.4,20.87
118836,621,21.4,108.7,3330.56
93692,375,7.5,51.9,287.74
41951,820,12.8,66.0,1111.08
90671,12,10.0,63.1,339.95
67167,131,9.7,50.0,402.13
75971,330,9.2,38.0,212.61
87632,122,18.3,54.4,1372.51
112352,131,2.0,20.0,7.25
102214,747,4.6,40.9,33.76
106720,122,3.8,13.4,20.95
23649,128,11.7,48.2,638.65
54656,400,3.4,43.0,42.14
134674,202,21.6,159.4,5734.23
10948,131,4.8,32.0,60.16
87647,122,14.4,70.1,1078.68
3445,97,9.1,51.0,368.66
8761,318,21.0,90.8,5004.15
59907,131,9.6,69.0,543.3
135939,202,22.0,167.0,6184.05
35034,111,12.6,78.0,1209.97
39753,400,13.0,61.0,1119.63
76936,263,8.5,78.9,519.34
32120,131,3.7,39.7,32.0
123977,971,7.7,36.0,229.41
120798,131,8.2,48.7,272.0
61937,691,11.7,64.2,747.69
33624,122,16.4,86.2,1659.94
34817,827,11.1,63.0,852.01
45228,611,13.3,84.0,1228.65
41096,316,7.2,41.0,196.21
107226,122,22.5,85.3,3452.61
98851,693,16.9,77.7,1936.73
135012,202,9.4,89.7,725.27
45016,111,9.0,37.0,286.94
45561,131,8.9,62.0,417.17
18698,121,12.5,66.7,1065.65
73625,901,12.0,60.0,795.36
45841,110,9.9,66.0,581.01
78013,122,8.7,38.5,234.58
66290,837,6.9,47.0,221.17
101078,263,1.7,12.5,4.72
58029,370,6.8,59.0,282.81
91923,68,7.5,32.0,165.36
37008,111,9.7,63.0,575.23
86458,93,6.9,27.0,86.49
111927,95,4.2,20.5,44.11
40968,694,12.6,70.0,925.71
13853,833,6.9,71.0,410.6
28569,131,24.6,90.6,4730.67
14936,621,6.0,57.0,156.11
8603,541,15.0,92.6,2370.93
103984,81,5.2,25.2,54.52
108622,122,23.2,89.7,3854.01
20564,621,17.9,111.1,2422.23
35715,111,3.3,18.0,28.74
135540,202,27.7,149.5,8252.9
120315,242,20.0,126.1,2603.67
78853,375,10.8,57.0,859.66
9648,263,2.1,16.2,7.88
64477,802,20.6,88.0,3830.89
