,SPCD,DO_BH,HT_TOT,TT_DW_CRM
22071,370,17.7,92.4,2353.69
24080,653,10.5,67.1,580.48
109227,202,22.4,102.8,3898.37
5348,531,20.9,79.4,4736.17
103918,15,15.0,87.4,1291.92
56646,400,9.8,65.0,689.45
63195,970,2.4,27.0,13.18
78589,93,10.0,56.3,406.72
43818,111,4.7,44.0,67.91
130083,107,6.1,49.0,177.92
80106,125,13.8,65.4,866.2
54776,621,12.0,73.0,769.49
36013,111,11.5,71.0,916.94
115139,131,7.1,54.5,222.92
14430,832,3.9,35.0,57.19
122107,131,12.7,96.9,1341.12
91846,951,9.8,46.4,268.8
45889,121,6.6,60.0,249.59
121623,105,12.4,49.1,595.35
49994,110,1.8,16.0,5.63
105393,131,3.0,37.0,19.26
92527,12,8.0,44.2,190.97
14438,832,11.6,50.0,721.6
91208,375,6.4,59.9,221.26
1795,131,9.4,75.0,565.69
32473,122,8.9,49.1,254.93
12345,131,10.7,76.2,748.61
30320,812,15.6,71.1,1681.71
53225,316,13.9,53.0,838.31
31597,121,8.3,43.1,290.92
86476,93,9.5,57.0,335.23
109741,202,14.6,91.2,1678.88
113452,131,7.1,42.6,169.73
109065,202,21.0,106.4,3626.34
108291,122,20.4,88.2,2718.91
87558,746,6.9,44.0,157.67
56906,970,5.1,59.0,163.45
98761,951,15.8,103.6,1763.02
129913,128,12.9,41.0,666.07
53261,835,8.8,51.0,453.14
101054,263,3.3,18.5,23.83
120670,131,12.3,59.0,773.26
25087,261,6.1,45.0,112.24
124584,802,7.7,77.8,588.0
124836,125,12.0,74.4,718.71
5240,531,11.5,76.4,1397.64
121305,131,10.7,84.0,824.56
52820,128,7.6,47.0,245.17
86847,122,12.2,61.0,654.19
7057,97,4.7,25.5,57.22
129941,128,10.3,50.0,516.64
76845,242,12.9,92.0,887.37
32854,316,9.0,63.0,495.64
102376,81,3.8,17.5,30.11
15196,837,15.7,85.0,1999.33
121754,833,6.7,59.7,305.81
17904,110,6.6,57.0,211.56
134576,202,10.1,84.7,788.61
91600,746,9.8,72.6,411.31
42624,694,8.3,45.0,272.36
34382,820,4.0,31.0,65.45
2551,375,10.1,69.5,816.07
62149,316,8.7,59.0,396.21
8397,371,24.2,87.9,6075.57
1641,121,3.2,45.0,26.66
20014,110,17.0,82.3,2155.99
122149,131,12.1,66.2,836.91
60413,111,8.7,56.0,406.74
21704,806,16.1,84.7,2528.6
6359,531,17.1,73.0,3020.07
19331,541,16.8,85.2,2258.05
41197,111,6.9,69.0,307.97
44008,121,7.4,65.0,352.36
76066,833,6.0,43.0,194.11
1983,316,2.9,33.0,27.62
114805,202,5.0,45.6,89.63
26289,121,14.3,45.1,958.25
94164,746,12.0,57.1,567.09
133150,372,4.3,44.0,86.85
87232,122,9.7,26.9,191.39
74565,531,8.9,54.0,443.52
109244,202,22.8,106.3,4175.58
27593,121,17.4,56.8,1774.06
73881,832,10.9,47.0,600.47
114282,131,8.5,63.7,389.16
17541,121,17.3,66.0,2024.64
122371,131,5.2,63.1,127.43
124844,129,9.0,75.6,363.47
50161,131,7.4,61.0,275.95
108914,12,6.3,41.0,114.18
29609,970,9.3,69.4,568.99
99783,621,24.5,134.0,5296.72
41517,838,21.4,55.0,2815.98
20473,400,10.4,76.6,915.71
93776,375,7.7,61.8,242.6
16078,316,6.7,62.0,259.96
103426,122,13.8,90.4,1188.61
116353,544,12.5,84.0,1234.88
57286,531,5.8,31.0,104.73
134020,951,13.3,64.9,830.06
111306,318,3.1,30.2,37.89
115331,131,5.5,25.9,43.97
