SPCD,DO_BH,HT_TOT,TT_DW_CRM
125,10.1,64.7,479.69
125,10.2,62.7,479.13
125,10.3,56,425.75
125,10.3,69.5,529.46
125,10.5,63.4,486.41
125,10.5,59.1,480.82
125,10.5,61.5,506.42
125,10.6,66.2,512.92
125,10.6,61.1,508.72
125,10.6,61.8,505.91
125,10.7,63.4,507.22
125,10.7,63.6,526.52
125,10.8,63.8,501.63
125,10.8,64.1,506.81
125,10.9,59.6,524.14
125,10.9,65.1,533.81
125,10.9,64.9,560.24
125,10.9,55.6,487.8
125,11,66.2,565.02
125,11,61.4,542.55
125,11,66.5,566.5
125,11,71.7,602.35
125,11,64.2,532.7
125,11.1,63.3,532
125,11.2,60.4,530.18
125,11.2,60.8,563.36
125,11.2,69.3,604.16
125,11.2,61.5,564.14
125,11.2,63.3,575.03
125,11.2,65.9,569.59
125,11.3,67.5,606.15
125,11.4,66.9,585.46
125,11.4,63.4,599.92
125,11.4,61.6,578.18
125,11.4,57.7,550.38
125,11.4,67.9,617.4
125,11.5,65.9,619.92
125,11.5,53.4,508.74
125,11.6,66.1,630.45
125,11.6,65.9,627.16
125,11.6,67.7,653.3
125,11.6,64.9,614.76
125,11.7,70.8,692.1
125,11.7,71.4,677.46
125,11.7,66.2,640.26
125,11.8,62,606.21
125,11.8,59.6,587.8
125,11.8,64.2,645.02
125,11.8,63.5,620.11
125,11.9,62.6,602.07
125,11.9,59.1,610.09
125,11.9,65,653.15
125,11.9,69.3,693.5
125,11.9,69.1,687.55
125,12,68.1,677.13
125,12,62.3,652.42
125,12,57.8,611.12
125,12.1,65.1,664.03
125,12.1,62.6,668.53
125,12.2,63.3,668.41
125,12.2,68.6,720.14
125,12.3,63.5,695.04
125,12.3,62.9,667.05
125,12.3,59.3,648.17
125,12.3,63.9,655.74
125,12.4,65.7,661.48
125,12.4,67.2,708.08
125,12.5,70,759.13
125,12.5,66.9,730.81
125,12.5,67.5,739.34
125,12.6,70.5,758.72
125,12.7,64.8,739.3
125,12.7,65.1,727.43
125,12.7,59.4,682.38
125,12.8,66.9,757.85
125,12.8,64.9,758.85
125,12.8,64.7,715.54
125,12.9,63.2,737.98
125,12.9,72.1,792.81
125,12.9,64.8,757.42
125,13,60.3,749.37
125,13.2,66,804.45
125,13.4,66.5,856.01
125,13.5,69.8,880.8
125,13.7,66,876.49
125,13.8,69.6,921.38
125,14,60.8,832.56
125,14,72.5,991.29
125,14.5,68,966.78
125,14.5,73.3,1048.52
125,14.7,73.9,1027.62
125,16,64,1130.62
125,16.1,66,1159.2
125,16.2,64,1113.51
125,10.7,67.1,543.41
125,10.8,68.2,567.38
125,12.8,67.7,780.71
110,8.9,61,307
110,9.4,59,354.74
110,10.8,65.5,511.84
110,12.7,56.6,783.53
110,13.5,67.6,918.97
110,15.3,68.5,1270.41
110,8.2,54.8,247.21
110,9.1,66.8,325.59
110,10.3,77.1,451.67
110,12.8,67.1,799.77
110,13.3,74.7,883.92
110,14.6,62.3,1126.02
110,15.2,73.9,1249.18
110,18,67.3,1918.26
110,18.2,80.5,1971.86
403,11.4,52,901.8
762,8.8,56.8,287.48
806,12.8,75.3,1091.81
806,12.5,77.6,1029.71
806,15.8,77.7,1835.08
835,11.2,61.8,720.95
835,18.5,58.4,2424.22
837,13.3,72.2,1068.46
110,9.1,71,325.59
110,9.8,70.7,396.05
110,12.2,78.2,705.29
110,13.1,85.3,849.66
110,14.6,70,1126.02
110,16.5,71.7,1540.7
110,18.1,77,1944.97
110,8.9,64,307
110,9.2,62.4,335.13
110,9.8,51.9,396.05
110,10.4,65.5,463.34
110,10.8,67.6,511.84
110,11.2,67.3,563.32
