latitude,longitude,address,driving_time_to_campus,walking_time_to_campus,bicycling_time_to_campus,transit_time_to_campus,driving_time_cluster,walking_time_cluster,bicycling_time_cluster,transit_time_cluster
40.20999999999996,-123.82999999999966,"6569+2X Miranda, CA, USA",71,2100,593,197,2,0,0,0
40.20999999999996,-123.81999999999964,"656H+2X Miranda, CA, USA",72,2100,591,183,2,0,0,0
40.20999999999996,-123.80999999999965,"656R+22 Miranda, CA, USA",74,2100,595,192,2,0,0,0
40.20999999999996,-123.79999999999964,"656X+2X Phillipsville, CA, USA",75,2040,623,153,2,0,0,1
40.20999999999996,-123.78999999999964,"275 Phillipsville Rd, Phillipsville, CA 95559, USA",73,2040,624,154,2,0,0,1
40.20999999999996,-123.77999999999965,"6669+2X Phillipsville, CA, USA",75,2040,629,164,2,0,0,0
40.20999999999996,-123.76999999999964,"666J+22 Phillipsville, CA, USA",76,2040,633,176,2,0,0,0
40.21999999999996,-123.86999999999968,"1131 Thomas St, Eureka, CA 95503, USA",18,241,59,45,1,1,1,1
40.21999999999996,-123.82999999999966,"6599+XX Miranda, CA, USA",72,2100,593,198,2,0,0,0
40.21999999999996,-123.81999999999964,"659H+XX Miranda, CA, USA",67,2040,582,157,2,0,0,1
40.21999999999996,-123.80999999999965,"5159 CA-254, Miranda, CA 95553, USA",69,2040,577,146,2,0,0,1
40.21999999999996,-123.79999999999964,"659X+XX Miranda, CA, USA",76,2040,581,162,2,0,0,0
40.21999999999996,-123.78999999999964,"6696+X2 Phillipsville, CA, USA",70,2040,620,165,2,0,0,0
40.21999999999996,-123.77999999999965,"746 Spring Canyon Ln, Phillipsville, CA 95559, USA",76,2040,629,171,2,0,0,0
40.21999999999996,-123.76999999999964,"669J+X2 Phillipsville, CA, USA",77,2040,631,177,2,0,0,0
40.229999999999954,-123.83999999999966,"65H6+X2 Miranda, CA, USA",70,2100,594,236,2,0,0,0
40.229999999999954,-123.82999999999966,"Maple Hills Rd, Miranda, CA 95553, USA",68,2040,583,163,2,0,0,0
40.229999999999954,-123.81999999999964,"6295 CA-254, Miranda, CA 95553, USA",72,2100,576,162,2,0,0,0
40.229999999999954,-123.80999999999965,"65HR+X2 Miranda, CA, USA",71,2040,588,174,2,0,0,0
40.229999999999954,-123.79999999999964,"1379 Nelson Rd, Miranda, CA 95553, USA",72,2040,585,172,2,0,0,0
40.229999999999954,-123.66999999999958,"Seward Dr, California, USA",302,7260,1920,593,0,0,0,0
40.23999999999995,-123.83999999999966,"400 Carol Ln, Miranda, CA 95553, USA",71,2100,596,244,2,0,0,0
40.23999999999995,-123.82999999999966,"65R9+2X Miranda, CA, USA",65,2100,590,228,2,0,0,0
40.23999999999995,-123.81999999999964,"119 Logan Rd, Miranda, CA 95553, USA",73,2100,570,152,2,0,0,1
40.23999999999995,-123.80999999999965,"65RR+22 Miranda, CA, USA",79,2100,580,181,2,0,0,0
40.24999999999995,-123.87999999999968,"7429+2X Myers Flat, CA, USA",81,2160,614,398,2,0,0,0
40.24999999999995,-123.86999999999968,"742H+2X Myers Flat, CA, USA",79,2160,611,389,2,0,0,0
40.24999999999995,-123.82999999999966,"2151 CA-254, Miranda, CA 95553, USA",65,2100,594,246,2,0,0,0
40.24999999999995,-123.81999999999964,"752H+2X Miranda, CA, USA",70,2100,565,165,2,0,0,0
40.24999999999995,-123.80999999999965,"752R+22 Miranda, CA, USA",77,2040,581,176,2,0,0,0
40.25999999999995,-123.88999999999967,"7455+XX Myers Flat, CA, USA",65,2220,544,145,2,0,0,1
40.25999999999995,-123.87999999999968,"7459+XX Myers Flat, CA, USA",65,2220,544,146,2,0,0,1
40.25999999999995,-123.86999999999968,"745H+XX Myers Flat, CA, USA",65,2220,545,145,2,0,0,1
40.25999999999995,-123.85999999999969,"745R+X2 Myers Flat, CA, USA",68,2220,544,136,2,0,0,1
40.25999999999995,-123.84999999999968,"745X+XX Myers Flat, CA, USA",66,2160,556,198,2,0,0,0
40.269999999999946,-123.88999999999967,"7495+XX Myers Flat, CA, USA",66,2220,539,160,2,0,0,1
40.269999999999946,-123.87999999999968,"7499+XX Myers Flat, CA, USA",64,2220,539,144,2,0,0,1
40.269999999999946,-123.86999999999968,"749H+XX Myers Flat, CA, USA",63,2220,545,141,2,0,0,1
40.269999999999946,-123.85999999999969,"749R+X2 Myers Flat, CA, USA",67,2160,544,143,2,0,0,1
40.269999999999946,-123.84999999999968,"749X+XX Myers Flat, CA, USA",66,2160,554,185,2,0,0,0
40.27999999999994,-123.87999999999968,"74J9+2X Myers Flat, CA, USA",61,2220,536,156,2,0,0,1
40.27999999999994,-123.86999999999968,"74JH+2X Myers Flat, CA, USA",65,2220,554,163,2,0,0,0
40.27999999999994,-123.85999999999969,"74JR+22 Myers Flat, CA, USA",64,2160,547,155,2,0,0,1
40.27999999999994,-123.76999999999964,"1797 Drake Hl Rd, Fortuna, CA 95540, USA",39,931,250,161,1,1,1,0
40.30999999999994,-123.92999999999972,"8369+2X Weott, CA, USA",60,2280,516,156,2,0,0,1
40.30999999999994,-123.9199999999997,"836H+2X Weott, CA, USA",60,2280,517,162,2,0,0,0
40.30999999999994,-123.9099999999997,"836R+22 Burlington, CA, USA",64,2280,522,183,2,0,0,0
40.319999999999936,-123.93999999999971,"8396+X2 Weott, CA, USA",59,2340,514,146,2,0,0,1
40.319999999999936,-123.92999999999972,"8399+XX Weott, CA, USA",59,2340,514,147,2,0,0,1
40.319999999999936,-123.9199999999997,"187 S Spring St, Weott, CA 95571, USA",58,2340,516,128,2,0,0,1
40.319999999999936,-123.9099999999997,"1661 Newton Rd, Weott, CA 95571, USA",62,2340,524,151,2,0,0,1
40.319999999999936,-123.8999999999997,"2500 Newton Rd, Weott, CA 95571, USA",66,2400,529,165,2,0,0,0
40.329999999999934,-123.93999999999971,"83H6+X2 Weott, CA, USA",58,2340,508,157,2,0,0,1
40.329999999999934,-123.92999999999972,"83H9+XX Weott, CA, USA",59,2340,510,149,2,0,0,1
40.329999999999934,-123.9199999999997,"83HH+XX Weott, CA, USA",60,2340,519,139,2,0,0,1
40.329999999999934,-123.9099999999997,"83HR+X2 Weott, CA, USA",61,2280,514,235,2,0,0,0
40.35999999999993,-123.9199999999997,"Avenue of the Giants, Redcrest, CA 95569, USA",51,2160,478,123,2,0,0,1
40.37999999999992,-123.94999999999972,"92HX+XX Redcrest, CA, USA",62,2220,495,296,2,0,0,0
40.38999999999992,-123.96999999999971,"92QJ+X2 Redcrest, CA, USA",59,2160,496,300,2,0,0,0
40.38999999999992,-123.95999999999972,"92QR+X2 Redcrest, CA, USA",57,2220,490,162,2,0,0,0
40.38999999999992,-123.94999999999972,"92QX+XX Redcrest, CA, USA",55,2160,485,142,2,0,0,1
40.38999999999992,-123.93999999999971,"93Q6+X2 Redcrest, CA, USA",57,2220,487,152,2,0,0,1
40.38999999999992,-123.92999999999972,"26011 Avenue of the Giants, Redcrest, CA 95569, USA",53,2160,485,149,2,0,0,1
40.39999999999992,-123.96999999999971,"C22J+22 Redcrest, CA, USA",56,2220,487,153,2,0,0,1
40.39999999999992,-123.95999999999972,"C22R+22 Redcrest, CA, USA",54,2160,484,141,2,0,0,1
40.39999999999992,-123.94999999999972,"26430 CA-254, Redcrest, CA 95569, USA",52,2160,477,125,2,0,0,1
40.39999999999992,-123.93999999999971,"26035 CA-254, Redcrest, CA 95569, USA",53,2160,480,131,2,0,0,1
40.39999999999992,-123.92999999999972,"774 Larabee Rnch Rd, Redcrest, CA 95569, USA",80,2220,491,220,2,0,0,0
40.40999999999992,-123.95999999999972,"US-101, Redcrest, CA 95569, USA",51,2160,479,123,2,0,0,1
40.40999999999992,-123.94999999999972,"C25X+XX Redcrest, CA, USA",53,2160,474,140,2,0,0,1
40.40999999999992,-123.93999999999971,"C356+X2 Redcrest, CA, USA",58,2160,484,200,2,0,0,0
40.40999999999992,-123.92999999999972,"540 Larabee Creek Rd, Redcrest, CA 95569, USA",79,2160,490,213,2,0,0,0
40.42999999999992,-123.6999999999996,"1522 Charles Ave, Arcata, CA 95521, USA",4,35,9,37,1,1,1,1
40.43999999999991,-124.02999999999976,"Blue Star Memorial Hwy, Scotia, CA 95565, USA",45,1620,276,117,1,0,1,1
40.44999999999991,-123.15999999999931,"CA-3, Hayfork, CA 96041, USA",150,2100,672,285,0,0,0,0
40.46999999999991,-124.1099999999998,"FV9R+X2 Scotia, CA, USA",69,1920,444,462,2,0,0,0
40.46999999999991,-124.0999999999998,"FW92+X2 Scotia, CA, USA",43,1620,282,140,1,0,1,1
40.46999999999991,-124.0899999999998,"FW96+X2 Scotia, CA, USA",45,1620,280,137,1,0,1,1
40.47999999999991,-124.1199999999998,"FVHJ+X2 Scotia, CA, USA",46,1620,278,138,1,0,1,1
40.47999999999991,-124.1099999999998,"FVHR+X2 Scotia, CA, USA",44,1620,278,124,1,0,1,1
40.47999999999991,-124.0999999999998,"532 B St, Scotia, CA 95565, USA",42,1620,276,115,1,0,1,1
40.47999999999991,-124.0899999999998,"FWH6+X2 Scotia, CA, USA",46,1620,282,142,1,0,1,1
40.47999999999991,-124.0799999999998,"FWHC+X2 Scotia, CA, USA",46,1620,298,146,1,0,1,1
40.4899999999999,-124.1199999999998,"1042 Monument Rd, Rio Dell, CA 95562, USA",44,1620,275,129,1,0,1,1
40.4899999999999,-124.1099999999998,"50 Redwood Ave, Rio Dell, CA 95562, USA",43,1560,274,117,1,0,1,1
40.4899999999999,-124.0999999999998,"64 N Ct, Scotia, CA 95565, USA",41,1620,274,116,1,0,1,1
40.4899999999999,-124.0899999999998,"FWR6+22 Rio Dell, CA, USA",44,1620,291,134,1,0,1,1
40.4899999999999,-124.0799999999998,"FWRC+22 Rio Dell, CA, USA",46,1620,303,145,1,0,1,1
40.4999999999999,-124.1299999999998,"GV2C+22 Rio Dell, CA, USA",48,1620,281,131,1,0,1,1
40.4999999999999,-124.1199999999998,"GV2J+22 Rio Dell, CA, USA",43,1560,274,122,1,0,1,1
40.4999999999999,-124.1099999999998,"GV2R+22 Rio Dell, CA, USA",40,1560,269,105,1,0,1,1
40.4999999999999,-124.0999999999998,"230 Smither Ct, Rio Dell, CA 95562, USA",40,1560,270,107,1,0,1,1
40.4999999999999,-124.0899999999998,"GW26+22 Rio Dell, CA, USA",41,1620,273,110,1,0,1,1
40.4999999999999,-124.0799999999998,"GW2C+22 Rio Dell, CA, USA",46,1620,303,159,1,0,1,1
40.5099999999999,-124.1199999999998,"GV5J+X2 Rio Dell, CA, USA",38,1560,262,121,1,0,1,1
40.5099999999999,-124.1099999999998,"GV5R+X2 Rio Dell, CA, USA",43,1560,267,116,1,0,1,1
40.5099999999999,-124.0999999999998,"GW52+X2 Rio Dell, CA, USA",42,1560,268,112,1,0,1,1
40.5099999999999,-124.0899999999998,"GW56+X2 Rio Dell, CA, USA",42,1560,270,108,1,0,1,1
40.5099999999999,-124.0799999999998,"GW5C+X2 Rio Dell, CA, USA",48,852,229,923,1,1,1,2
40.53999999999989,-123.20999999999934,"131 Jesse Rd, Hayfork, CA 96041, USA",154,2160,662,319,0,0,0,0
40.53999999999989,-123.19999999999932,"GRQ2+X2 Hayfork, CA, USA",156,2160,663,322,0,0,0,0
40.53999999999989,-123.18999999999932,"5501 CA-3, Hayfork, CA 96041, USA",151,2160,659,305,0,0,0,0
40.53999999999989,-123.17999999999932,"GRQC+X2 Hayfork, CA, USA",156,2160,663,321,0,0,0,0
40.53999999999989,-123.16999999999932,"305 Pine Ave, Hayfork, CA 96041, USA",152,2160,663,302,0,0,0,0
40.53999999999989,-123.15999999999931,"1630 Morgan Hill Rd, Hayfork, CA 96041, USA",154,2160,667,318,0,0,0,0
40.53999999999989,-123.14999999999932,"GRQX+XX Hayfork, CA, USA",154,2160,666,329,0,0,0,0
40.53999999999989,-123.1399999999993,"GVQ5+XX Hayfork, CA, USA",156,2160,670,365,0,0,0,0
40.53999999999989,-123.1299999999993,"GVQC+X2 Hayfork, CA, USA",159,2220,676,382,0,0,0,0
40.54999999999989,-123.20999999999934,"HQ2R+22 Hayfork, CA, USA",155,2100,651,307,0,0,0,0
40.54999999999989,-123.19999999999932,"374 Tule Creek Rd, Hayfork, CA 96041, USA",152,2100,658,298,0,0,0,0
40.54999999999989,-123.18999999999932,"66 Riverview Rd, Hayfork, CA 96041, USA",151,2100,655,292,0,0,0,0
40.54999999999989,-123.17999999999932,"541 Riverview Rd, Hayfork, CA 96041, USA",152,2100,658,303,0,0,0,0
40.54999999999989,-123.16999999999932,"71 Bridge Rd, Hayfork, CA 96041, USA",150,2160,662,290,0,0,0,0
40.54999999999989,-123.15999999999931,"HR2R+22 Hayfork, CA, USA",150,2100,664,285,0,0,0,0
40.54999999999989,-123.14999999999932,"HR2X+2X Hayfork, CA, USA",149,2100,664,287,0,0,0,0
40.54999999999989,-123.1399999999993,"3021 Morgan Hill Rd, Hayfork, CA 96041, USA",157,2220,672,350,0,0,0,0
40.54999999999989,-123.1299999999993,"HV2C+22 Hayfork, CA, USA",151,2100,669,295,0,0,0,0
40.54999999999989,-123.1199999999993,"HV2H+2X Hayfork, CA, USA",151,2100,672,307,0,0,0,0
40.54999999999989,-123.10999999999927,"HV2R+22 Hayfork, CA, USA",181,2280,712,574,0,0,0,0
40.54999999999989,-123.09999999999928,"HV2X+2X Hayfork, CA, USA",153,2160,680,300,0,0,0,0
40.54999999999989,-123.08999999999928,"HW25+2X Hayfork, CA, USA",153,2160,681,304,0,0,0,0
40.55999999999989,-124.14999999999982,"2101 Sandy Prairie Rd, Fortuna, CA 95540, USA",37,918,247,143,1,1,1,1
40.55999999999989,-124.13999999999982,"2600 Drake Hill Rd, Fortuna, CA 95540, USA",38,914,248,108,1,1,1,1
40.55999999999989,-124.1299999999998,"2100 Airport Rd, Fortuna, CA 95540, USA",38,904,245,104,1,1,1,1
40.55999999999989,-124.1199999999998,"4285 Hillras Way, Fortuna, CA 95540, USA",40,896,243,114,1,1,1,1
40.55999999999989,-124.1099999999998,"HV6R+22 Hydesville, CA, USA",41,859,233,139,1,1,1,1
40.55999999999989,-123.20999999999934,"HQ6R+22 Hayfork, CA, USA",156,2100,651,313,0,0,0,0
40.55999999999989,-123.19999999999932,"420 Horse Tail Hill Rd, Hayfork, CA 96041, USA",158,2100,652,318,0,0,0,0
40.55999999999989,-123.18999999999932,"105 Murray Ln, Hayfork, CA 96041, USA",156,2100,655,307,0,0,0,0
40.55999999999989,-123.17999999999932,"HR6C+22 Hayfork, CA, USA",152,2100,657,291,0,0,0,0
40.55999999999989,-123.16999999999932,"360 Oak Ave, Hayfork, CA 96041, USA",153,2160,659,292,0,0,0,0
40.55999999999989,-123.15999999999931,"HR6R+22 Hayfork, CA, USA",153,2100,663,298,0,0,0,0
40.55999999999989,-123.14999999999932,"HR6X+2X Hayfork, CA, USA",147,2040,666,288,0,0,0,0
40.55999999999989,-123.1399999999993,"151 Rose Ln, Hayfork, CA 96041, USA",148,2100,667,294,0,0,0,0
40.55999999999989,-123.1299999999993,"10057 CA-3, Hayfork, CA 96041, USA",149,2100,667,295,0,0,0,0
40.55999999999989,-123.1199999999993,"10375 CA-3, Hayfork, CA 96041, USA",150,2100,670,305,0,0,0,0
40.55999999999989,-123.10999999999927,"30 S Barker Ln, Hayfork, CA 96041, USA",150,2100,672,295,0,0,0,0
40.55999999999989,-123.09999999999928,"HV6X+2X Hayfork, CA, USA",152,2160,677,287,0,0,0,0
40.55999999999989,-123.08999999999928,"480 Nelson Rd, Hayfork, CA 96041, USA",152,2160,678,291,0,0,0,0
40.55999999999989,-123.07999999999927,"HW6C+22 Hayfork, CA, USA",155,2160,686,294,0,0,0,0
40.56999999999989,-124.16999999999985,"HR9J+X2 Fortuna, CA, USA",41,1418,317,571,1,0,0,0
40.56999999999989,-124.15999999999984,"HR9R+X2 Fortuna, CA, USA",41,1423,317,543,1,0,0,0
40.56999999999989,-124.14999999999982,"HV92+X2 Rohnerville, Fortuna, CA, USA",40,941,252,179,1,1,1,0
40.56999999999989,-124.13999999999982,"2534 School St, Fortuna, CA 95540, USA",35,921,250,79,1,1,1,1
40.56999999999989,-124.1299999999998,"3464 School St, Fortuna, CA 95540, USA",36,910,247,91,1,1,1,1
40.56999999999989,-124.1199999999998,"136 Windfall Ln, Fortuna, CA 95540, USA",37,913,248,93,1,1,1,1
40.56999999999989,-124.1099999999998,"4151 Mill St, Fortuna, CA 95540, USA",38,925,250,105,1,1,1,1
40.56999999999989,-123.18999999999932,"771 Kellogg Gulch Rd, Hayfork, CA 96041, USA",157,2160,665,326,0,0,0,0
40.56999999999989,-123.17999999999932,"360 Oliva Dr, Hayfork, CA 96041, USA",154,2160,662,316,0,0,0,0
40.56999999999989,-123.16999999999932,"347 Buck Ln, Hayfork, CA 96041, USA",156,2160,664,331,0,0,0,0
40.56999999999989,-123.15999999999931,"HR9R+X2 Hayfork, CA, USA",157,2160,665,344,0,0,0,0
